cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;05022024;453;0,04;ABEV3;295,47;2024-08-20
V;Futuro;Normal;03022024;476;0,05;WEGE3;312,91;2024-08-20
C;Futuro;Normal;12022024;218;0,07;LREN3;178,84;2024-08-20
V;Futuro;Normal;12022024;308;0,07;JBSS3;326,83;2024-08-20
C;Futuro;Normal;10022024;426;0,04;PETR4;336,1;2024-08-20
C;Futuro;Normal;03022024;104;0,05;WEGE3;113,24;2024-08-20
C;Futuro;Normal;03022024;461;0,06;CIEL3;396,19;2024-08-20
C;Futuro;Normal;13022024;419;0,04;CIEL3;406,84;2024-08-20
C;Futuro;Normal;08022024;428;0,09;RENT3;60,56;2024-08-20
C;Futuro;Normal;13022024;339;0,01;B3SA3;486,02;2024-08-20
C;Futuro;Normal;04022024;348;0,04;B3SA3;417,43;2024-08-20
C;Futuro;Normal;08022024;465;0,02;WEGE3;212,48;2024-08-20
V;Futuro;Normal;03022024;493;0,04;GGBR4;259,54;2024-08-20
C;Futuro;Normal;08022024;428;0,01;ENBR3;86,06;2024-08-20
V;Futuro;Normal;07022024;311;0,09;EGIE3;271,94;2024-08-20
V;Futuro;Normal;06022024;320;0;BRFS3;467,18;2024-08-20
