cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;13022024;256;0,01;SUZB3;127,68;2024-08-20
V;Futuro;Normal;17022024;146;0,09;MGLU3;390,73;2024-08-20
V;Futuro;Normal;13022024;130;0,01;GGBR4;58,74;2024-08-20
C;Futuro;Normal;09022024;214;0,04;B3SA3;450,71;2024-08-20
V;Futuro;Normal;16022024;425;0,08;ITUB4;84,78;2024-08-20
V;Futuro;Normal;11022024;291;0,1;WEGE3;119,49;2024-08-20
C;Futuro;Normal;12022024;352;0,07;PETR4;276,64;2024-08-20
C;Futuro;Normal;13022024;97;0,02;JBSS3;416,71;2024-08-20
C;Futuro;Normal;18022024;416;0,09;VALE3;423,43;2024-08-20
V;Futuro;Normal;14022024;304;0,04;EGIE3;449,84;2024-08-20
V;Futuro;Normal;09022024;125;0;VVAR3;479,52;2024-08-20
C;Futuro;Normal;12022024;477;0,03;JBSS3;493,5;2024-08-20
V;Futuro;Normal;09022024;397;0,08;ITUB4;393,26;2024-08-20
V;Futuro;Normal;09022024;67;0,07;ENBR3;141,29;2024-08-20
V;Futuro;Normal;18022024;359;0,08;VALE3;84,28;2024-08-20
C;Futuro;Normal;08022024;427;0,04;BBAS3;122,95;2024-08-20
