cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
C;Futuro;Normal;13022024;285;0,04;CSNA3;387,98;2024-08-20
C;Futuro;Normal;12022024;156;0,02;BBAS3;75,46;2024-08-20
V;Futuro;Normal;20022024;118;0,05;B3SA3;276,34;2024-08-20
V;Futuro;Normal;14022024;187;0,03;LREN3;262,64;2024-08-20
C;Futuro;Normal;15022024;393;0,03;ITUB4;206,2;2024-08-20
C;Futuro;Normal;11022024;500;0,03;EGIE3;226,55;2024-08-20
C;Futuro;Normal;14022024;63;0,04;PETR4;297,99;2024-08-20
C;Futuro;Normal;15022024;364;0;PETR4;120,15;2024-08-20
V;Futuro;Normal;15022024;231;0,07;EGIE3;59,72;2024-08-20
C;Futuro;Normal;14022024;391;0,04;PETR4;288,08;2024-08-20
V;Futuro;Normal;13022024;456;0,04;MGLU3;400,3;2024-08-20
C;Futuro;Normal;18022024;261;0,09;EGIE3;117,05;2024-08-20
C;Futuro;Normal;14022024;344;0,09;JBSS3;330,5;2024-08-20
V;Futuro;Normal;11022024;489;0;SUZB3;261,09;2024-08-20
C;Futuro;Normal;11022024;133;0,06;CSNA3;437,38;2024-08-20
C;Futuro;Normal;13022024;468;0;B3SA3;413,69;2024-08-20
