cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;28022024;141;0,08;EGIE3;440,6;2024-08-20
C;Futuro;Normal;01032024;486;0,06;ENBR3;55,54;2024-08-20
C;Futuro;Normal;23022024;420;0,05;VVAR3;316,02;2024-08-20
V;Futuro;Normal;03032024;131;0,07;EGIE3;287,9;2024-08-20
V;Futuro;Normal;23022024;397;0,01;JBSS3;369,99;2024-08-20
V;Futuro;Normal;26022024;314;0,03;ITUB4;87,15;2024-08-20
V;Futuro;Normal;24022024;8;0,04;EGIE3;248,46;2024-08-20
C;Futuro;Normal;23022024;465;0,03;CIEL3;443,83;2024-08-20
V;Futuro;Normal;26022024;231;0,1;LREN3;232,3;2024-08-20
V;Futuro;Normal;01032024;208;0,07;VALE3;292,11;2024-08-20
C;Futuro;Normal;28022024;125;0,01;ITUB4;155,9;2024-08-20
C;Futuro;Normal;01032024;369;0,09;EGIE3;474;2024-08-20
C;Futuro;Normal;23022024;485;0,01;VALE3;328,58;2024-08-20
C;Futuro;Normal;27022024;174;0,05;WEGE3;200,7;2024-08-20
V;Futuro;Normal;26022024;135;0,04;BRFS3;453,35;2024-08-20
V;Futuro;Normal;22022024;182;0,04;VALE3;376,24;2024-08-20
