cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
C;Futuro;Normal;05022024;343;0,08;CSNA3;414,41;2024-08-20
V;Futuro;Normal;08022024;77;0,03;ENBR3;95,99;2024-08-20
V;Futuro;Normal;31012024;232;0;VVAR3;218,75;2024-08-20
V;Futuro;Normal;30012024;13;0,09;PETR4;290,68;2024-08-20
C;Futuro;Normal;06022024;88;0,08;BRFS3;82,62;2024-08-20
C;Futuro;Normal;08022024;43;0,03;VVAR3;267,95;2024-08-20
C;Futuro;Normal;07022024;284;0,06;RENT3;288,16;2024-08-20
C;Futuro;Normal;08022024;274;0,04;LREN3;132,23;2024-08-20
V;Futuro;Normal;04022024;363;0,01;RENT3;55,77;2024-08-20
V;Futuro;Normal;04022024;284;0,05;LREN3;299,48;2024-08-20
C;Futuro;Normal;03022024;447;0,08;B3SA3;220,02;2024-08-20
C;Futuro;Normal;03022024;253;0,03;PETR4;401,92;2024-08-20
V;Futuro;Normal;03022024;95;0,03;B3SA3;494,56;2024-08-20
