cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;29022024;256;0,06;LREN3;279,13;2024-08-20
V;Futuro;Normal;24022024;110;0,05;RENT3;108,26;2024-08-20
V;Futuro;Normal;21022024;68;0,02;CSNA3;50,54;2024-08-20
V;Futuro;Normal;23022024;146;0,05;WEGE3;384,32;2024-08-20
V;Futuro;Normal;28022024;301;0,09;CIEL3;367,25;2024-08-20
C;Futuro;Normal;22022024;348;0,09;ENBR3;399,04;2024-08-20
C;Futuro;Normal;26022024;60;0,01;VVAR3;154,44;2024-08-20
V;Futuro;Normal;21022024;411;0,03;ITUB4;108,72;2024-08-20
C;Futuro;Normal;28022024;404;0,05;JBSS3;293,27;2024-08-20
C;Futuro;Normal;29022024;336;0,05;SUZB3;147,64;2024-08-20
V;Futuro;Normal;25022024;494;0,07;RENT3;461,91;2024-08-20
V;Futuro;Normal;28022024;223;0,03;ITUB4;121,81;2024-08-20
V;Futuro;Normal;21022024;471;0,03;BRFS3;457,13;2024-08-20
V;Futuro;Normal;20022024;404;0,07;ENBR3;93,55;2024-08-20
V;Futuro;Normal;25022024;388;0,07;BBAS3;423,13;2024-08-20
V;Futuro;Normal;23022024;63;0,1;ITUB4;92,26;2024-08-20
