cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
C;Futuro;Normal;10022024;420;0,06;BBDC4;117,47;2024-08-20
C;Futuro;Normal;12022024;456;0,1;ABEV3;403,54;2024-08-20
C;Futuro;Normal;15022024;349;0,09;ABEV3;312,12;2024-08-20
C;Futuro;Normal;14022024;493;0,02;CIEL3;400,41;2024-08-20
C;Futuro;Normal;16022024;227;0,09;VVAR3;391,57;2024-08-20
C;Futuro;Normal;17022024;14;0,07;VALE3;52,4;2024-08-20
V;Futuro;Normal;16022024;458;0,09;VALE3;231,33;2024-08-20
C;Futuro;Normal;10022024;408;0,04;MGLU3;233,65;2024-08-20
V;Futuro;Normal;16022024;440;0,04;EGIE3;233,18;2024-08-20
V;Futuro;Normal;12022024;266;0,05;SUZB3;360,65;2024-08-20
V;Futuro;Normal;13022024;160;0,1;ABEV3;211,78;2024-08-20
C;Futuro;Normal;10022024;128;0,06;PETR4;72,09;2024-08-20
V;Futuro;Normal;12022024;424;0,1;ENBR3;368,77;2024-08-20
C;Futuro;Normal;10022024;357;0,07;EGIE3;374,71;2024-08-20
C;Futuro;Normal;20022024;22;0,08;CIEL3;147,74;2024-08-20
V;Futuro;Normal;18022024;326;0,06;ITUB4;262,5;2024-08-20
