cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
C;Futuro;Normal;06022024;420;0,05;JBSS3;477,43;2024-08-20
C;Futuro;Normal;04022024;228;0,09;B3SA3;302,51;2024-08-20
C;Futuro;Normal;03022024;68;0,03;ITUB4;122,45;2024-08-20
C;Futuro;Normal;08022024;109;0,07;CIEL3;332,46;2024-08-20
C;Futuro;Normal;11022024;437;0,09;ITUB4;63,4;2024-08-20
C;Futuro;Normal;03022024;181;0,08;GGBR4;214;2024-08-20
C;Futuro;Normal;06022024;495;0,08;BBDC4;83,17;2024-08-20
C;Futuro;Normal;06022024;359;0,01;SUZB3;421,66;2024-08-20
C;Futuro;Normal;06022024;208;0,08;BBAS3;495,55;2024-08-20
V;Futuro;Normal;09022024;484;0,06;MGLU3;377,44;2024-08-20
