cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
C;Futuro;Normal;19022024;220;0,08;LREN3;147,66;2024-08-20
C;Futuro;Normal;22022024;288;0,05;PETR4;61,65;2024-08-20
C;Futuro;Normal;18022024;419;0,08;ABEV3;434,99;2024-08-20
V;Futuro;Normal;15022024;292;0,07;MGLU3;167,11;2024-08-20
V;Futuro;Normal;21022024;7;0,09;PETR4;222,18;2024-08-20
V;Futuro;Normal;17022024;319;0,01;BBDC4;135,59;2024-08-20
C;Futuro;Normal;19022024;141;0,02;CSNA3;197,5;2024-08-20
C;Futuro;Normal;16022024;223;0,08;RENT3;222,95;2024-08-20
V;Futuro;Normal;17022024;47;0,06;ITUB4;356,36;2024-08-20
V;Futuro;Normal;20022024;362;0,09;WEGE3;53,73;2024-08-20
V;Futuro;Normal;20022024;176;0,03;VVAR3;133,07;2024-08-20
V;Futuro;Normal;20022024;323;0;ITUB4;93,88;2024-08-20
C;Futuro;Normal;23022024;303;0,08;EGIE3;117,97;2024-08-20
V;Futuro;Normal;22022024;369;0,08;BBAS3;154,5;2024-08-20
C;Futuro;Normal;21022024;60;0,02;SUZB3;109,66;2024-08-20
C;Futuro;Normal;22022024;197;0,09;RENT3;297,05;2024-08-20
