cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;21022024;188;0,1;BRFS3;186,96;2024-08-20
V;Futuro;Normal;23022024;367;0,03;SUZB3;272,45;2024-08-20
V;Futuro;Normal;25022024;216;0,04;MGLU3;403,99;2024-08-20
C;Futuro;Normal;19022024;186;0,07;ITUB4;393,55;2024-08-20
C;Futuro;Normal;18022024;93;0,08;RENT3;458,7;2024-08-20
V;Futuro;Normal;23022024;231;0,04;LREN3;182,9;2024-08-20
V;Futuro;Normal;26022024;285;0,06;PETR4;479,32;2024-08-20
C;Futuro;Normal;22022024;413;0,03;ABEV3;309,3;2024-08-20
C;Futuro;Normal;19022024;347;0;RENT3;247,37;2024-08-20
V;Futuro;Normal;23022024;115;0,08;BBAS3;483,48;2024-08-20
C;Futuro;Normal;27022024;402;0,06;CIEL3;224,19;2024-08-20
C;Futuro;Normal;24022024;488;0,01;EGIE3;76,68;2024-08-20
V;Futuro;Normal;21022024;352;0,09;BRFS3;344,4;2024-08-20
V;Futuro;Normal;23022024;425;0,06;MGLU3;137,54;2024-08-20
C;Futuro;Normal;19022024;301;0,1;ENBR3;52,29;2024-08-20
C;Futuro;Normal;24022024;125;0,01;CIEL3;142,19;2024-08-20
