cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;21022024;431;0,04;BRFS3;327,7;2024-08-20
V;Futuro;Normal;01032024;378;0,08;SUZB3;352,28;2024-08-20
V;Futuro;Normal;27022024;70;0,09;JBSS3;438,16;2024-08-20
C;Futuro;Normal;24022024;302;0,08;CSNA3;76,16;2024-08-20
C;Futuro;Normal;02032024;71;0,09;JBSS3;354,13;2024-08-20
V;Futuro;Normal;25022024;223;0,07;MGLU3;270,15;2024-08-20
V;Futuro;Normal;23022024;242;0,02;VALE3;133,75;2024-08-20
C;Futuro;Normal;24022024;236;0,07;GGBR4;172,62;2024-08-20
C;Futuro;Normal;01032024;92;0,07;VALE3;108,16;2024-08-20
C;Futuro;Normal;24022024;150;0,07;BRFS3;205,88;2024-08-20
C;Futuro;Normal;25022024;48;0,09;BBDC4;416,23;2024-08-20
V;Futuro;Normal;27022024;53;0,01;CSNA3;198,22;2024-08-20
C;Futuro;Normal;27022024;398;0,01;VVAR3;300,2;2024-08-20
V;Futuro;Normal;26022024;192;0,06;GGBR4;308,21;2024-08-20
V;Futuro;Normal;26022024;434;0,04;BBAS3;136,76;2024-08-20
V;Futuro;Normal;21022024;383;0,09;EGIE3;259,48;2024-08-20
